cores,cpu_speed
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
12,7.88
38,7.77
38,7.77
38,7.77
38,7.77
38,7.77
38,7.77
38,7.77
38,7.77
38,7.77
38,7.77
38,7.77
38,7.77
38,7.77
38,7.77
38,7.77
38,7.77
38,7.77
38,7.77
38,7.77
38,7.77
38,7.77
38,7.77
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
16,7.64
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
8,7.53
31,7.25
31,7.25
31,7.25
31,7.25
31,7.25
31,7.25
31,7.25
31,7.25
31,7.25
31,7.25
31,7.25
31,7.25
31,7.25
31,7.25
16,6.44
16,6.44
16,6.44
16,6.44
16,6.44
16,6.44
16,6.44
16,6.44
16,6.44
16,6.44
16,6.44
16,6.44
16,6.44
16,6.44
16,6.44
16,6.44
16,6.44
16,6.44
16,6.44
16,6.44
16,6.44
16,6.44
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
42,6.37
15,6.35
15,6.35
15,6.35
15,6.35
15,6.35
15,6.35
15,6.35
15,6.35
15,6.35
15,6.35
15,6.35
15,6.35
12,6.34
12,6.34
12,6.34
12,6.34
12,6.34
12,6.34
12,6.34
12,6.34
