
CPU model	Number of computers	Avg. cores/computer	GFLOPS/core	GFLOPs/computer
AMD Ryzen 5 5600G with Radeon Graphics [Family 25 Model 80 Stepping 0]	58	11.90	7.88	93.72
AMD Ryzen 9 7950X 16-Core Processor [Family 25 Model 97 Stepping 2]	22	38.18	7.77	296.75
AMD Ryzen 7 PRO 4750G with Radeon Graphics [Family 23 Model 96 Stepping 1]	37	16.00	7.64	122.20
Intel(R) Core(TM) i7-9700K CPU @ 3.60GHz [Family 6 Model 158 Stepping 13]	31	8.00	7.53	60.21
AMD Ryzen Threadripper 2950X 16-Core Processor [Family 23 Model 8 Stepping 2]	14	31.14	7.25	225.68
AMD Ryzen 7 5700X 8-Core Processor [Family 25 Model 33 Stepping 2]	22	15.55	6.44	100.10
AMD Ryzen 9 5950X 16-Core Processor [Family 25 Model 33 Stepping 0]	32	42.38	6.37	269.86
AMD Ryzen 7 5800X 8-Core Processor [Family 25 Model 33 Stepping 0]	12	15.33	6.35	97.31
AMD Ryzen 5 5600X 6-Core Processor [Family 25 Model 33 Stepping 0]	21	12.00	6.34	76.02
AMD Ryzen 9 7950X3D 16-Core Processor [Family 25 Model 97 Stepping 2]	10	32.00	6.28	201.10
AMD Ryzen 7 5700G with Radeon Graphics [Family 25 Model 80 Stepping 0]	24	16.00	6.10	97.63
12th Gen Intel(R) Core(TM) i7-12700K [Family 6 Model 151 Stepping 2]	12	17.83	6.03	107.62
12th Gen Intel(R) Core(TM) i7-12700 [Family 6 Model 151 Stepping 2]	10	19.60	5.95	116.70
AMD Ryzen 9 5900X 12-Core Processor [Family 25 Model 33 Stepping 2]	21	24.00	5.94	142.49
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz [Family 6 Model 158 Stepping 12]	10	16.00	5.92	94.71
AMD Ryzen 9 5950X 16-Core Processor [Family 25 Model 33 Stepping 2]	21	36.57	5.87	214.64
Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz [Family 6 Model 158 Stepping 10]	46	11.80	5.86	69.17
AMD Ryzen Threadripper 1950X 16-Core Processor [Family 23 Model 1 Stepping 1]	15	32.00	5.83	186.65
AMD Ryzen 9 5900X 12-Core Processor [Family 25 Model 33 Stepping 0]	21	23.95	5.78	138.51
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz [Family 6 Model 158 Stepping 13]	15	16.00	5.64	90.28
Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz [Family 6 Model 158 Stepping 9]	25	8.00	5.62	44.94
Intel(R) Core(TM) i7-8700K CPU @ 3.70GHz [Family 6 Model 158 Stepping 10]	38	12.08	5.55	67.06
AMD Ryzen 7 3700X 8-Core Processor [Family 23 Model 113 Stepping 0]	36	15.61	5.51	85.95
AMD Ryzen 9 3900X 12-Core Processor [Family 23 Model 113 Stepping 0]	39	23.69	5.45	129.08
AMD Ryzen 9 3950X 16-Core Processor [Family 23 Model 113 Stepping 0]	21	30.48	5.31	161.86
AMD Ryzen 5 3600 6-Core Processor [Family 23 Model 113 Stepping 0]	34	12.00	5.30	63.65
Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz [Family 6 Model 165 Stepping 5]	22	16.00	5.28	84.55
AMD Ryzen 5 3600X 6-Core Processor [Family 23 Model 113 Stepping 0]	11	12.00	5.22	62.61
Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz [Family 6 Model 158 Stepping 13]	17	8.00	5.21	41.68
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz [Family 6 Model 167 Stepping 1]	10	16.00	5.12	81.97
Intel(R) Core(TM) i5-9400 CPU @ 2.90GHz [Family 6 Model 158 Stepping 10]	10	6.00	5.03	30.16
AMD Ryzen 7 2700X Eight-Core Processor [Family 23 Model 8 Stepping 2]	13	16.00	4.99	79.89
Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz [Family 6 Model 60 Stepping 3]	11	7.00	4.97	34.81
Intel(R) Core(TM) i5-6600 CPU @ 3.30GHz [Family 6 Model 94 Stepping 3]	12	4.00	4.93	19.72
Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz [Family 6 Model 158 Stepping 9]	11	8.00	4.92	39.38
Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz [Family 6 Model 94 Stepping 3]	16	8.00	4.92	39.35
Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz [Family 6 Model 158 Stepping 10]	13	6.00	4.88	29.27
Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz [Family 6 Model 165 Stepping 3]	12	12.00	4.84	58.12
Apple M1	16	8.00	4.83	38.62
