client_id,event_type,event_start,event_end
21,1,0,0
21,0,0,20064
21,1,20064,26753
21,0,26753,26941
21,1,26941,28001
21,0,28001,28208
21,1,28208,28800
21,0,28800,172800
21,1,172800,181432
21,0,181432,183755
21,1,183755,195719
21,0,195719,195845
21,1,195845,199697
21,0,199697,201600
21,1,201600,460800
21,0,460800,518400
21,1,518400,547200
21,0,547200,604800
21,1,604800,629710
21,0,629710,631370
21,1,631370,633600
21,0,633600,691200
21,1,691200,691695
21,0,691695,692528
21,1,692528,693428
21,0,693428,694348
21,1,694348,695248
21,0,695248,696226
21,1,696226,697126
21,0,697126,697351
21,1,697351,714501
21,0,714501,719292
21,1,719292,720000
21,0,720000,777600
21,1,777600,806400
21,0,806400,1036800
21,1,1036800,1065600
119,1,0,0
119,0,0,19660
119,1,19660,20560
119,0,20560,20711
119,1,20711,21611
119,0,21611,28800
119,1,28800,86400
119,0,86400,90821
119,1,90821,92703
119,0,92703,115200
119,1,115200,179101
119,0,179101,201600
119,1,201600,438826
119,0,438826,457168
119,1,457168,458979
119,0,458979,460800
119,1,460800,523026
119,0,523026,541440
119,1,541440,543284
119,0,543284,547200
119,1,547200,609299
119,0,609299,629748
119,1,629748,631559
119,0,631559,633600
119,1,633600,693176
119,0,693176,694064
119,1,694064,694964
119,0,694964,711444
119,1,711444,720000
119,0,720000,777600
119,1,777600,781396
119,0,781396,801128
119,1,801128,806400
119,0,806400,1036800
119,1,1036800,1039661
119,0,1039661,1053405
119,1,1053405,1057110
119,0,1057110,1058472
119,1,1058472,1065600
108,1,0,0
108,0,0,20094
108,1,20094,25754
108,0,25754,26011
108,1,26011,27993
108,0,27993,28118
108,1,28118,28800
108,0,28800,172800
108,1,172800,174559
108,0,174559,174973
108,1,174973,190002
108,0,190002,195135
108,1,195135,199147
108,0,199147,200965
108,1,200965,201600
108,0,201600,442266
108,1,442266,460800
108,0,460800,518400
108,1,518400,547200
108,0,547200,604800
108,1,604800,613401
108,0,613401,616733
108,1,616733,627125
108,0,627125,631607
108,1,631607,633600
108,0,633600,691200
108,1,691200,693235
108,0,693235,694064
108,1,694064,694964
108,0,694964,695940
108,1,695940,696840
108,0,696840,697068
108,1,697068,720000
108,0,720000,777600
108,1,777600,782875
108,0,782875,785694
108,1,785694,794080
108,0,794080,799095
108,1,799095,802090
108,0,802090,804010
108,1,804010,806400
108,0,806400,1036800
108,1,1036800,1065600
142,1,0,0
142,0,0,19843
142,1,19843,24563
142,0,24563,24684
142,1,24684,25585
142,0,25585,25718
142,1,25718,28800
142,0,28800,90524
142,1,90524,91424
142,0,91424,92136
142,1,92136,93036
142,0,93036,115200
142,1,115200,201600
142,0,201600,432000
142,1,432000,460800
142,0,460800,518400
142,1,518400,547200
142,0,547200,604800
142,1,604800,629905
142,0,629905,631549
142,1,631549,633600
142,0,633600,691200
142,1,691200,693179
142,0,693179,694063
142,1,694063,694963
142,0,694963,695940
142,1,695940,696840
142,0,696840,697067
142,1,697067,720000
142,0,720000,777600
142,1,777600,797650
142,0,797650,797959
142,1,797959,806400
142,0,806400,1036800
142,1,1036800,1065600
135,1,0,0
135,0,0,19663
135,1,19663,20563
135,0,20563,21595
135,1,21595,22495
135,0,22495,23230
135,1,23230,26136
135,0,26136,26671
135,1,26671,27571
135,0,27571,28468
135,1,28468,28800
135,0,28800,90825
135,1,90825,92737
135,0,92737,115200
135,1,115200,201600
135,0,201600,620884
135,1,620884,633600
135,0,633600,691200
135,1,691200,693236
135,0,693236,694068
135,1,694068,694968
135,0,694968,695943
135,1,695943,696843
135,0,696843,697072
135,1,697072,720000
135,0,720000,777600
135,1,777600,797682
135,0,797682,798011
135,1,798011,806400
135,0,806400,1036800
135,1,1036800,1038383
135,0,1038383,1039387
135,1,1039387,1065600
101,1,0,0
101,0,0,432000
101,1,432000,460213
101,0,460213,460800
101,1,460800,547200
101,0,547200,604931
101,1,604931,633600
101,0,633600,691200
101,1,691200,692214
101,0,692214,692989
101,1,692989,693889
101,0,693889,694812
101,1,694812,695712
101,0,695712,696687
101,1,696687,697587
101,0,697587,697808
101,1,697808,720000
101,0,720000,777600
101,1,777600,793923
101,0,793923,794108
101,1,794108,806400
101,0,806400,1036800
101,1,1036800,1065600
157,1,0,0
157,0,0,20099
157,1,20099,22931
157,0,22931,23231
157,1,23231,24131
157,0,24131,25949
157,1,25949,26849
157,0,26849,27270
157,1,27270,28800
157,0,28800,90601
157,1,90601,91501
157,0,91501,91922
157,1,91922,92823
157,0,92823,115200
157,1,115200,201600
157,0,201600,432000
157,1,432000,460800
157,0,460800,519365
157,1,519365,547200
157,0,547200,607136
157,1,607136,622169
157,0,622169,631615
157,1,631615,633600
36,1,0,0
36,0,0,20114
36,1,20114,21014
36,0,21014,21551
36,1,21551,22451
36,0,22451,22762
36,1,22762,23662
36,0,23662,23795
36,1,23795,24695
36,0,24695,24868
36,1,24868,25768
36,0,25768,26027
36,1,26027,26995
36,0,26995,27174
36,1,27174,28800
36,0,28800,183880
36,1,183880,185063
36,0,185063,191499
36,1,191499,193506
36,0,193506,196050
36,1,196050,201600
36,0,201600,444441
36,1,444441,445341
36,0,445341,459164
36,1,459164,460800
36,0,460800,518400
36,1,518400,520685
36,0,520685,523575
36,1,523575,530711
36,0,530711,534912
36,1,534912,538757
36,0,538757,544502
36,1,544502,547200
36,0,547200,604800
36,1,604800,609441
36,0,609441,609602
36,1,609602,610502
36,0,610502,614009
36,1,614009,614909
36,0,614909,623372
36,1,623372,629972
36,0,629972,631619
36,1,631619,633600
36,0,633600,691200
36,1,691200,691422
36,0,691422,692252
36,1,692252,693153
36,0,693153,694156
36,1,694156,695056
36,0,695056,695954
36,1,695954,696855
36,0,696855,697071
36,1,697071,697971
36,0,697971,704936
36,1,704936,705836
36,0,705836,709772
36,1,709772,713574
36,0,713574,716376
36,1,716376,717496
36,0,717496,719730
36,1,719730,720000
36,0,720000,777600
36,1,777600,778962
36,0,778962,781679
36,1,781679,782580
36,0,782580,793022
36,1,793022,793922
36,0,793922,796044
36,1,796044,806400
36,0,806400,1036800
36,1,1036800,1041177
36,0,1041177,1047105
36,1,1047105,1050175
36,0,1050175,1058344
36,1,1058344,1065600
104,1,0,0
104,0,0,172800
104,1,172800,174851
104,0,174851,185177
104,1,185177,189819
104,0,189819,201600
104,1,201600,434074
104,0,434074,441726
104,1,441726,444770
104,0,444770,460800
104,1,460800,520435
104,0,520435,530315
104,1,530315,534943
104,0,534943,547200
104,1,547200,607169
104,0,607169,616658
104,1,616658,622198
104,0,622198,626688
104,1,626688,627707
104,0,627707,633600
104,1,633600,693176
104,0,693176,702967
104,1,702967,706682
104,0,706682,720000
104,1,720000,780959
104,0,780959,790729
104,1,790729,794422
104,0,794422,804665
104,1,804665,805565
104,0,805565,806400
104,1,806400,1065600
74,1,0,0
74,0,0,20025
74,1,20025,20925
74,0,20925,22157
74,1,22157,23057
74,0,23057,23407
74,1,23407,24307
74,0,24307,24494
74,1,24494,25394
74,0,25394,26602
74,1,26602,27502
74,0,27502,28181
74,1,28181,28800
74,0,28800,91365
74,1,91365,93188
74,0,93188,115200
74,1,115200,201600
74,0,201600,432000
74,1,432000,438289
74,0,438289,438411
74,1,438411,460800
74,0,460800,518400
74,1,518400,547200
74,0,547200,604800
74,1,604800,633600
74,0,633600,691200
74,1,691200,693239
74,0,693239,694066
74,1,694066,694966
74,0,694966,695941
74,1,695941,696841
74,0,696841,697068
74,1,697068,720000
74,0,720000,777600
74,1,777600,793197
74,0,793197,793363
74,1,793363,806400
74,0,806400,1036800
74,1,1036800,1065600
123,1,0,0
123,0,0,20392
123,1,20392,21292
123,0,21292,22570
123,1,22570,23470
123,0,23470,24684
123,1,24684,25584
123,0,25584,26608
123,1,26608,27508
123,0,27508,28721
123,1,28721,28800
123,0,28800,90599
123,1,90599,91499
123,0,91499,91921
123,1,91921,92821
123,0,92821,115200
123,1,115200,174578
123,0,174578,174981
123,1,174981,201600
123,0,201600,432000
123,1,432000,460800
123,0,460800,518400
123,1,518400,547200
123,0,547200,604800
123,1,604800,633600
19,1,0,0
19,0,0,19903
19,1,19903,20803
19,0,20803,20991
19,1,20991,25680
19,0,25680,25951
19,1,25951,28800
19,0,28800,90771
19,1,90771,91671
19,0,91671,91909
19,1,91909,92809
19,0,92809,115200
19,1,115200,174578
19,0,174578,174981
19,1,174981,201600
19,0,201600,432000
19,1,432000,460800
19,0,460800,518400
19,1,518400,547200
19,0,547200,604800
19,1,604800,629899
19,0,629899,631556
19,1,631556,633600
19,0,633600,691200
19,1,691200,691475
19,0,691475,692251
19,1,692251,693151
19,0,693151,694071
19,1,694071,694971
19,0,694971,695949
19,1,695949,696849
19,0,696849,697074
19,1,697074,720000
19,0,720000,777600
19,1,777600,793142
19,0,793142,793302
19,1,793302,806400
19,0,806400,1036800
19,1,1036800,1065600
89,1,0,0
89,0,0,19561
89,1,19561,20461
89,0,20461,21971
89,1,21971,22871
89,0,22871,23175
89,1,23175,24075
89,0,24075,25344
89,1,25344,26244
89,0,26244,26477
89,1,26477,27377
89,0,27377,27514
89,1,27514,28800
89,0,28800,172800
89,1,172800,173416
89,0,173416,186924
89,1,186924,190607
89,0,190607,201600
89,1,201600,432670
89,0,432670,449110
89,1,449110,454690
89,0,454690,460800
89,1,460800,519477
89,0,519477,531833
89,1,531833,536463
89,0,536463,547131
89,1,547131,547200
89,0,547200,604800
89,1,604800,606234
89,0,606234,618542
89,1,618542,625055
89,0,625055,632029
89,1,632029,632929
89,0,632929,633600
89,1,633600,692273
89,0,692273,700140
89,1,700140,703867
89,0,703867,718948
89,1,718948,720000
89,0,720000,777600
89,1,777600,777707
89,0,777707,781201
89,1,781201,782101
89,0,782101,785815
89,1,785815,786949
89,0,786949,793006
89,1,793006,796711
89,0,796711,806400
89,1,806400,1037721
89,0,1037721,1047022
89,1,1047022,1048838
89,0,1048838,1053409
89,1,1053409,1056179
89,0,1056179,1060982
89,1,1060982,1063743
89,0,1063743,1065600
139,1,0,0
139,0,0,19610
139,1,19610,24336
139,0,24336,24494
139,1,24494,27266
139,0,27266,27390
139,1,27390,28800
139,0,28800,90837
139,1,90837,92706
139,0,92706,115200
139,1,115200,201600
139,0,201600,432000
139,1,432000,438290
139,0,438290,438412
139,1,438412,460800
139,0,460800,518400
139,1,518400,547200
139,0,547200,604800
139,1,604800,629423
139,0,629423,631071
139,1,631071,633600
139,0,633600,691200
139,1,691200,693237
139,0,693237,694069
139,1,694069,694969
139,0,694969,695943
139,1,695943,696843
139,0,696843,697072
139,1,697072,720000
139,0,720000,777600
139,1,777600,797771
139,0,797771,797962
139,1,797962,806400
139,0,806400,1036800
139,1,1036800,1065600
181,1,0,0
181,0,0,20023
181,1,20023,28800
181,0,28800,90823
181,1,90823,91723
181,0,91723,91867
181,1,91867,92767
181,0,92767,115200
181,1,115200,201600
181,0,201600,432000
181,1,432000,452048
181,0,452048,452170
181,1,452170,460800
181,0,460800,518400
181,1,518400,547200
181,0,547200,604800
181,1,604800,633600
9,1,0,0
9,0,0,19721
9,1,19721,28800
9,0,28800,90825
9,1,90825,92744
9,0,92744,115200
9,1,115200,179701
9,0,179701,180800
9,1,180800,201600
9,0,201600,432000
9,1,432000,460800
9,0,460800,518400
9,1,518400,547200
9,0,547200,604800
9,1,604800,633469
9,0,633469,633600
9,1,633600,693236
9,0,693236,697493
9,1,697493,702190
9,0,702190,702426
9,1,702426,705202
9,0,705202,705594
9,1,705594,708376
9,0,708376,708508
9,1,708508,720000
9,0,720000,777600
9,1,777600,792250
9,0,792250,794776
9,1,794776,797535
9,0,797535,798092
9,1,798092,806400
9,0,806400,1036800
9,1,1036800,1065600
180,1,0,0
180,0,0,106169
180,1,106169,107069
180,0,107069,107208
180,1,107208,109263
180,0,109263,115110
180,1,115110,115200
180,0,115200,177752
180,1,177752,179575
180,0,179575,201600
180,1,201600,432000
180,0,432000,432105
180,1,432105,438771
180,0,438771,440504
180,1,440504,460800
180,0,460800,518400
180,1,518400,524560
180,0,524560,532801
180,1,532801,535582
180,0,535582,543926
180,1,543926,544860
180,0,544860,547200
180,1,547200,607267
180,0,607267,617573
180,1,617573,619402
180,0,619402,626475
180,1,626475,633257
180,0,633257,633600
180,1,633600,691586
180,0,691586,692361
180,1,692361,693261
180,0,693261,694182
180,1,694182,695082
